Repo_Name,Repo_URL,PRs_Total,Commits_With_Claude_Code_Signature,Commits_With_Cursor_Signature,Commits_With_GitHub_Copilot_Signature,Commits_With_Codex_Signature,Commits_With_Generic_AI_Marker_Signature,Total_AI_Signed_Commits_Any_Signature,Bot_Contributor_Accounts,Bot_Contributor_Count,Bot_Total_Contributions
skyvern,https://github.com/Skyvern-AI/skyvern,7827,278,4,3,1,0,286,"dependabot[bot], mintlify[bot], devsy-bot[bot]",3,49
goose,https://github.com/aaif-goose/goose,8357,183,13,85,0,0,281,"dependabot[bot], github-actions[bot]",2,349
ragflow,https://github.com/infiniflow/ragflow,10301,132,40,19,2,59,252,dependabot[bot],1,62
NagaAgent,https://github.com/RTGS2017/NagaAgent,262,196,52,0,0,0,248,,0,0
open-design,https://github.com/nexu-io/open-design,4543,111,99,8,9,2,229,"open-design-crew[bot], open-design-bot[bot], github-actions[bot], open-design-release-bot[bot], rebel-nexu-zero[bot]",5,271
nanobot,https://github.com/HKUDS/nanobot,3737,106,76,24,0,1,207,Copilot,1,9
langflow,https://github.com/langflow-ai/langflow,10538,136,11,36,0,23,206,"dependabot[bot], github-actions[bot], autofix-ci[bot], codeflash-ai[bot]",4,183
airflow,https://github.com/apache/airflow,46631,129,21,52,0,0,202,dependabot[bot],1,594
AionUi,https://github.com/iOfficeAI/AionUi,2537,112,9,7,4,53,185,,0,0
chatbox,https://github.com/chatboxai/chatbox,274,132,33,4,0,15,184,dependabot[bot],1,4
kilocode,https://github.com/Kilo-Org/kilocode,7732,53,5,47,0,75,180,"opencode-agent[bot], kilo-code-bot[bot], kilo-maintainer[bot], github-actions[bot]",4,3085
trigger.dev,https://github.com/triggerdotdev/trigger.dev,3734,116,1,15,0,47,179,"github-actions[bot], claude[bot], devin-ai-integration[bot], mintlify[bot], dependabot[bot]",5,323
browser-use,https://github.com/browser-use/browser-use,3519,119,2,3,0,50,174,"claude[bot], codebeaver-ai[bot]",2,26
budibase,https://github.com/Budibase/budibase,7941,80,22,10,0,60,172,"dependabot[bot], github-actions[bot], allcontributors[bot], devin-ai-integration[bot]",4,309
ai-berkshire,https://github.com/xbtlin/ai-berkshire,49,172,0,0,0,0,172,,0,0
ECC,https://github.com/affaan-m/ECC,2022,154,10,3,0,0,167,"dependabot[bot], Copilot, Claude, devin-ai-integration[bot]",4,97
